Date,Site,Rings,Heightrange,Heightavg,Heightproxy,Circumference,DBH
5/18/2015,SH,22,20 to 25,22.5,F,18.5 inches,14.96
5/18/2015,HP,10,15 to 20,17.5,E,12 inches,9.71
5/18/2015,CG,20,25 to 30,27.5,G,22.75 inches,18.4
5/18/2015,DR,12,10 to 12,11,C,8 inches,6.47
5/18/2015,FE,17,20 to 25,22.5,F,19 inches,15.37
7/27/2015,FE,21,20 to 25,22.5,F,37.5 cm,11.94
7/27/2015,FE,42,>30,30,H,81.5 cm,25.96
7/27/2015,FE,14,15 to 20,17.5,E,33.5,10.67
7/27/2015,FE,9,8 to 10,9,B,13.5,4.3
7/27/2015,SH,16,20 to 25,22.5,F,18.5 inches,14.96
7/27/2015,SH,11,15 to 20,17.5,E,42.5,13.54
7/27/2015,SH,8,10 to 12,11,C,21.7,6.91
7/27/2015,HP,11,15 to 20,17.5,E,12 inches,9.71
7/27/2015,HP,12,15 to 20,17.5,E,25,7.96
7/27/2015,HP,6,6 to 8,7,A,12.5,3.98
7/27/2015,HP,19,25 to 30,27.5,G,64.5,20.54
